Channel Id,Channel Url,Channel Title
UCGT2HOTTRk-ovvQXu73WmSg,http://www.youtube.com/channel/UCGT2HOTTRk-ovvQXu73WmSg,Carson McKee
UCHNbnZ5LE36rYv1sy6teodA,http://www.youtube.com/channel/UCHNbnZ5LE36rYv1sy6teodA,Sportskeeda India
UCHTqBrAQNbw8B7BxHxg9pDA,http://www.youtube.com/channel/UCHTqBrAQNbw8B7BxHxg9pDA,Anubha
UCHbq_l1qnuomfJCYQTsWf_Q,http://www.youtube.com/channel/UCHbq_l1qnuomfJCYQTsWf_Q,Motivation Madness
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCIMTuO8lufqVjuWFcfo_WQA,http://www.youtube.com/channel/UCIMTuO8lufqVjuWFcfo_WQA,An Architect Cooks
UCIrKfZlM-QlJMQ7iqFyb3dw,http://www.youtube.com/channel/UCIrKfZlM-QlJMQ7iqFyb3dw,Adam Bahret
UCJ2BSIyIU84ZtJ9MiLh0jZA,http://www.youtube.com/channel/UCJ2BSIyIU84ZtJ9MiLh0jZA,yesofficial
UCJkMlOu7faDgqh4PfzbpLdg,http://www.youtube.com/channel/UCJkMlOu7faDgqh4PfzbpLdg,Nerdwriter1
UCJm2TgUqtK1_NLBrjNQ1P-w,http://www.youtube.com/channel/UCJm2TgUqtK1_NLBrjNQ1P-w,Second Thought
UCK0z0_5uL7mb9IjntOKi5XQ,http://www.youtube.com/channel/UCK0z0_5uL7mb9IjntOKi5XQ,The Atlantic
UCKg_ZFByYTINckLG76cjUEg,http://www.youtube.com/channel/UCKg_ZFByYTINckLG76cjUEg,Whose Line Is It Anyway?
UCKkAl9IWaI2rIyonJvm8nTA,http://www.youtube.com/channel/UCKkAl9IWaI2rIyonJvm8nTA,9eCn3
UCLB2sZa0kqPmkw2Bes59ePA,http://www.youtube.com/channel/UCLB2sZa0kqPmkw2Bes59ePA,The Music Room
UCLXo7UDZvByw2ixzpQCufnA,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox
UCLaXWd4nnhaaLSPJeolEUzw,http://www.youtube.com/channel/UCLaXWd4nnhaaLSPJeolEUzw,Brandon D'Eon Music
UCM9_9Co-j1DjDyPEcQpqF8g,http://www.youtube.com/channel/UCM9_9Co-j1DjDyPEcQpqF8g,Hiloo
UCMtFAi84ehTSYSE9XoHefig,http://www.youtube.com/channel/UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert
UCMwXzQYeZJ7ml7kQObcvXjA,http://www.youtube.com/channel/UCMwXzQYeZJ7ml7kQObcvXjA,Prateek Kuhad
UCOpCNl1ugRdu-SSLZpyA0uA,http://www.youtube.com/channel/UCOpCNl1ugRdu-SSLZpyA0uA,Brian Arockiam
UCP5tjEmvPItGyLhmjdwP7Ww,http://www.youtube.com/channel/UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore
UCPGpVg-Z_buWpLJ7gDjVudw,http://www.youtube.com/channel/UCPGpVg-Z_buWpLJ7gDjVudw,GradKlinic
UCR0AnNR7sViH3TWMJl5jyxw,http://www.youtube.com/channel/UCR0AnNR7sViH3TWMJl5jyxw,Jon Rettinger
UCRcgy6GzDeccI7dkbbBna3Q,http://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q,LEMMiNO
UCRnCESkQPseZiFVxdFQARjg,http://www.youtube.com/channel/UCRnCESkQPseZiFVxdFQARjg,3b1b shorts
UCRq8WvO55Cnk6GY-WT07KHg,http://www.youtube.com/channel/UCRq8WvO55Cnk6GY-WT07KHg,Iz Harris
UCSHZKyawb77ixDdsGog4iWA,http://www.youtube.com/channel/UCSHZKyawb77ixDdsGog4iWA,Lex Fridman
UCSbgQOPHnLhKMus6O4lFM2A,http://www.youtube.com/channel/UCSbgQOPHnLhKMus6O4lFM2A,Entertaining With Beth
UCT5AI7oxhGVI_m0P9ZphBhQ,http://www.youtube.com/channel/UCT5AI7oxhGVI_m0P9ZphBhQ,Hudson Davis
UCU2p7mitEH4-CW4NRdWrGjA,http://www.youtube.com/channel/UCU2p7mitEH4-CW4NRdWrGjA,Tom Resh
UCUHW94eEFW7hkUMVaZz4eDg,http://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg,minutephysics
UCUOCv-kb1-axbvY5tui70Wg,http://www.youtube.com/channel/UCUOCv-kb1-axbvY5tui70Wg,Keith Barry
UCUgrUBKwSnXwQOBG4v3igMg,http://www.youtube.com/channel/UCUgrUBKwSnXwQOBG4v3igMg,Reddit
UCV0qA-eDDICsRR9rPcnG7tw,http://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech
UCVYamHliCI9rw1tHR1xbkfw,http://www.youtube.com/channel/UCVYamHliCI9rw1tHR1xbkfw,Dave2D
UCW02bYQBj1Bo3tfvPZORgdg,http://www.youtube.com/channel/UCW02bYQBj1Bo3tfvPZORgdg,Handbook of Psychology
UCWqPRUsJlZaDp-PVbqEch9g,http://www.youtube.com/channel/UCWqPRUsJlZaDp-PVbqEch9g,Smithsonian Channel
UCX6OQ3DkcsbYNE6H8uQQuVA,http://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast
UCXdnLOQXbQgjcccelnjBhaw,http://www.youtube.com/channel/UCXdnLOQXbQgjcccelnjBhaw,Doc VII
UCXoPP_wiMrp1xkHpQnpbt-Q,http://www.youtube.com/channel/UCXoPP_wiMrp1xkHpQnpbt-Q,Toni Lindgren
UCXuqSBlHAE6Xw-yeJA0Tunw,http://www.youtube.com/channel/UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips
UCXzn66XFtpyKdGf8JDJOpCQ,http://www.youtube.com/channel/UCXzn66XFtpyKdGf8JDJOpCQ,MinuteLabs.io
UCY1kMZp36IQSyNx_9h4mpCg,http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober
UCYGsZ9fbu8dDnCEU9hqsBmg,http://www.youtube.com/channel/UCYGsZ9fbu8dDnCEU9hqsBmg,dualistinquiry
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UCZJgldbr_7Cu92dYGb9ncQw,http://www.youtube.com/channel/UCZJgldbr_7Cu92dYGb9ncQw,Cláudio Santos
UCZTjzBGTq5NjhFmlb0q3h_Q,http://www.youtube.com/channel/UCZTjzBGTq5NjhFmlb0q3h_Q,Prashanthi Dhandapani
UCZjMrGWsYHv9q09KzaEGvHA,http://www.youtube.com/channel/UCZjMrGWsYHv9q09KzaEGvHA,Voctronica
UC_Oa7Ph3v94om5OyxY1nPKg,http://www.youtube.com/channel/UC_Oa7Ph3v94om5OyxY1nPKg,Paul Davids
UC_exm4hbJ2zV-4SrqrL9IRw,http://www.youtube.com/channel/UC_exm4hbJ2zV-4SrqrL9IRw,Venkatesh Bhat's Idhayam Thotta Samayal
UC_fyAp919RnkKmBrMXGwnUQ,http://www.youtube.com/channel/UC_fyAp919RnkKmBrMXGwnUQ,Google Career Certificates
UC_t8hlftkbXSM5Kdk7mVJoQ,http://www.youtube.com/channel/UC_t8hlftkbXSM5Kdk7mVJoQ,Chris Milner Guitar classes
UCa5MTgY_WnOseKbIoBbp5iQ,http://www.youtube.com/channel/UCa5MTgY_WnOseKbIoBbp5iQ,Andrea Boma Boccarusso
UCa6vGFO9ty8v5KZJXQxdhaw,http://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live
UCaKZDEMDdQc8t6GzFj1_TDw,http://www.youtube.com/channel/UCaKZDEMDdQc8t6GzFj1_TDw,Be Inspired
UCasFZzbM8JJ6dqSVEgL9VVg,http://www.youtube.com/channel/UCasFZzbM8JJ6dqSVEgL9VVg,GuitarZero2Hero
UCbUMW8ryyrAEb5kVxYSLGtg,http://www.youtube.com/channel/UCbUMW8ryyrAEb5kVxYSLGtg,Ewan Cunningham
UCd0ZD4iCXRXf18p3cA7EQfg,http://www.youtube.com/channel/UCd0ZD4iCXRXf18p3cA7EQfg,Taran Van Hemert
UCddiUEpeqJcYeBxX1IVBKvQ,http://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ,The Verge
UCgoxyzvouZM-tCgsYzrYtyg,http://www.youtube.com/channel/UCgoxyzvouZM-tCgsYzrYtyg,NishaMadhulika
UCh5zlvB1pZyU3KYjEPC38KQ,http://www.youtube.com/channel/UCh5zlvB1pZyU3KYjEPC38KQ,Kfir Ochaion
UCiRiQGCHGjDLT9FQXFW0I3A,http://www.youtube.com/channel/UCiRiQGCHGjDLT9FQXFW0I3A,Academy of Ideas
UCigUBIf-zt_DA6xyOQtq2WA,http://www.youtube.com/channel/UCigUBIf-zt_DA6xyOQtq2WA,ClearValue Tax
UCivA7_KLKWo43tFcCkFvydw,http://www.youtube.com/channel/UCivA7_KLKWo43tFcCkFvydw,Applied Science
UCjWRi2qaGtKjQyoQLc4OGkw,http://www.youtube.com/channel/UCjWRi2qaGtKjQyoQLc4OGkw,Sungha Jung
UCjdxyPMmtiBLrmsM2Ok-AUg,http://www.youtube.com/channel/UCjdxyPMmtiBLrmsM2Ok-AUg,swiftlessons
UCkoR22wUiLB2sgY3y8IRKqA,http://www.youtube.com/channel/UCkoR22wUiLB2sgY3y8IRKqA,Aryan Ashok
UCkxf3y2_39JQuu2Zupxo8ZA,http://www.youtube.com/channel/UCkxf3y2_39JQuu2Zupxo8ZA,Rockloe
UCl9OJE9OpXui-gRsnWjSrlA,http://www.youtube.com/channel/UCl9OJE9OpXui-gRsnWjSrlA,Photonicinduction
UCmDOwRLQVMhYaGuZkDgNfUA,http://www.youtube.com/channel/UCmDOwRLQVMhYaGuZkDgNfUA,Yoni Schlesinger
UCmGSJVG3mCRXVOP4yZrU1Dw,http://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris
UCmmPgObSUPw1HL2lq6H4ffA,http://www.youtube.com/channel/UCmmPgObSUPw1HL2lq6H4ffA,Geography Now
UCmnlTWVJysjWPFiZhQ5uudg,http://www.youtube.com/channel/UCmnlTWVJysjWPFiZhQ5uudg,Marty Music
UCn2wC753SXLd2BJYLss_jlA,http://www.youtube.com/channel/UCn2wC753SXLd2BJYLss_jlA,Put Chutney
UConQeJRfaLwJ9LbXBS5nhxQ,http://www.youtube.com/channel/UConQeJRfaLwJ9LbXBS5nhxQ,Charlie Berens
UCosHstO-_wnRnB56YUg-pIQ,http://www.youtube.com/channel/UCosHstO-_wnRnB56YUg-pIQ,Nick Neblo
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCpjlh0e319ksmoOD7bQFSiw,http://www.youtube.com/channel/UCpjlh0e319ksmoOD7bQFSiw,Rich Roll
UCpmZQGTZXn9xd4nN59pbIWQ,http://www.youtube.com/channel/UCpmZQGTZXn9xd4nN59pbIWQ,Absolute Motivation
UCpnuadQ_w3r6f4Q_NRlqd-w,http://www.youtube.com/channel/UCpnuadQ_w3r6f4Q_NRlqd-w,Kraig Adams
UCpt93feDCVAGZ68e9FO130Q,http://www.youtube.com/channel/UCpt93feDCVAGZ68e9FO130Q,Cinesec IITR
UCqVDpXKLmKeBU_yyt_QkItQ,http://www.youtube.com/channel/UCqVDpXKLmKeBU_yyt_QkItQ,YouTube Originals
UCr-gTfI7au9UaEjNCbnp_Nw,http://www.youtube.com/channel/UCr-gTfI7au9UaEjNCbnp_Nw,Vidya Vox
UCs9Fd7wulfCqraqsFbRmvvw,http://www.youtube.com/channel/UCs9Fd7wulfCqraqsFbRmvvw,
UCsT0YIqwnpJCM-mx7-gSA4Q,http://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks
UCsTcErHg8oDvUnTzoqsYeNw,http://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsqz92a3BYy-NdirYbap-3g,http://www.youtube.com/channel/UCsqz92a3BYy-NdirYbap-3g,Tommaso Guitar
UCt3B6rUXb__X2eMyY7jzgIg,http://www.youtube.com/channel/UCt3B6rUXb__X2eMyY7jzgIg,Bullet Journal
UCtGMk3OR3p0QyS-Ez8IT_xQ,http://www.youtube.com/channel/UCtGMk3OR3p0QyS-Ez8IT_xQ,Navaneeth & Co.
UCtUId5WFnN82GdDy7DgaQ7w,http://www.youtube.com/channel/UCtUId5WFnN82GdDy7DgaQ7w,Better Ideas
UCtinbF-Q-fVthA0qrFQTgXQ,http://www.youtube.com/channel/UCtinbF-Q-fVthA0qrFQTgXQ,CaseyNeistat
UCvK4bOhULCpmLabd2pDMtnA,http://www.youtube.com/channel/UCvK4bOhULCpmLabd2pDMtnA,Yes Theory
